"dominicks","minute.maid","tropicana"
"2",998.131225658,1000.026131254,1014.915793724
"5",1037.112011574,1084.793547755,1071.30075528
"8",1164.658095182,1128.880678938,1094.57980908
"9",1041.36504599,1076.499329537,1103.456711504
"12",1078.787391658,1109.250801736,1094.832131264
"14",1004.822754059,1075.601693911,1114.867060236
"18",1069.317227866,1069.011723137,1052.875822161
"21",1117.746763909,1081.985542575,1023.006853652
"28",975.657295625,1018.273336107,1014.184107877
"32",1132.170265849,1148.065701119,1161.49731098
"33",1041.513370702,1083.28877376,1118.428626646
"40",1080.820649507,1027.848751754,1008.991167045
"44",1043.391744013,1077.055941238,1101.640566844
"45",1052.518059196,1037.960178147,1062.382682393
"47",1040.69283267,1028.095595535,979.282022268
"48",1016.787358364,1068.066590502,1040.604589001
"49",977.223434879,990.240656495,971.464608875
"50",1037.777194312,1022.92390033,1002.769478075
"51",991.840536172,999.253900769,989.882887592
"52",1006.251391052,1097.094039635,1117.173663506
"53",1106.315255045,1135.201620189,1157.507410897
"54",1067.223997593,1081.359225525,1076.647727056
"56",1058.707390805,1046.82809779,1062.813228569
"59",1050.66026298,1033.016200375,1033.923378364
"62",963.149293527,1091.7708884,1145.740063056
"64",960.583644193,926.621991202,879.815419061
"67",1027.089284676,1055.018718763,1033.505861954
"68",1052.615894397,1077.461029877,1067.362178403
"70",1151.411904962,1137.600383273,1111.612979014
"71",1064.367884592,1046.825583599,1048.294185375
"72",1037.359530391,1087.980714831,1110.955551717
"73",1175.745849592,1135.422746102,1100.932427616
"74",1131.112664707,1082.081424732,1085.785487607
"75",1087.109961515,1098.869754988,1095.442259941
"76",1087.382857751,1068.450460733,1063.967719013
"77",1033.127136381,1045.56160213,1050.001237022
"78",1119.841907654,1111.741590974,1093.743687282
"80",1078.960684484,1123.014425174,1132.643922286
"81",1053.247208079,1071.13085402,1063.220831937
"83",1078.501629823,1024.613685812,1015.720860852
"84",1022.574233059,1035.033407041,1003.871638098
"86",1109.208578446,1079.551803392,1100.312213169
"88",1036.806639131,1046.830952437,1005.44771439
"89",1132.582102093,1084.779622823,1027.989316698
"90",1058.791625741,1075.980999594,995.360092226
"91",1041.805556215,1025.302994304,995.053410082
"92",1093.862685537,1072.077701896,1020.677347385
"93",1003.02341354,1032.876189755,1051.795057473
"94",1061.758437623,1067.820247911,1040.53158961
"95",1058.859115768,1047.792069963,1016.324356771
"97",1010.791523124,1028.804439798,952.761981129
"98",1159.121578484,1112.9194249,1088.604718475
"100",1121.069912393,1120.570688603,1100.555595142
"101",1129.313341821,1118.037947267,1115.342643576
"102",1168.913676142,1110.663001911,1072.634150817
"103",1077.002302393,1017.889676911,951.758020698
"104",1016.38778529,1023.386278559,996.890421881
"105",1156.754975053,1093.387688807,1053.925137106
"106",1030.814941262,1011.415484291,957.290339925
"107",1097.048565606,1127.950185785,1146.137551663
"109",1033.811395843,1162.750251353,1190.406395835
"110",1047.103004411,1058.799255728,1032.644107763
"111",1165.248573474,1138.027210588,1054.236702061
"112",1113.39299332,1146.463444489,1166.847484206
"113",1093.892897647,1118.418212965,1115.842596291
"114",1158.632308662,1106.692108323,1065.891618184
"115",980.546601232,1027.912834817,1033.925462444
"116",1061.690937506,1039.015513919,1039.27551945
"117",1029.760619224,1035.002974407,1010.137776237
"118",1057.344154547,1093.438789237,1079.976817318
"119",1056.862684463,1078.794525855,1089.152500619
"121",1077.891449581,1117.463364859,1122.825642173
"122",1152.963233309,1157.479976779,1141.95449718
"123",1123.616616257,1136.127300569,1105.104759005
"124",1165.578336314,1126.767737578,1109.121945743
"126",1075.701830253,1111.995761444,1100.304256074
"128",1129.760236096,1154.881369718,1163.158770115
"129",1017.75134112,1063.100014859,1073.401918458
"130",1137.436575001,1085.807564381,1026.995720388
"131",1066.437881775,1079.009361344,1060.637988069
"132",1191.534452849,1151.142141165,1113.020537139
"134",765.905237511,749.215150815,747.049766935
"137",945.489985211,961.353783217,1013.749378645
